Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2019,1,1,11,0,562,562,0,-17.5,60.02,0,0.17,6.5,0.2,20,17.49,5.3,947
2019,1,1,11,30,577,577,0,-17.5,59.2,0,0.17,6.2,0.2,21,17.01,5.7,947
2019,1,1,12,0,569,569,0,-17.5,59.22,0,0.17,5.9,0.3,22,16.52,6.1,946
2019,1,1,12,30,553,553,0,-17.5,60.09,0,0.17,5.6,0.3,24,16.29,6.3,946
2019,1,1,13,0,521,521,0,-17.5,61.75,0,0.17,5.3,0.3,26,16,6.6,946
2019,1,1,13,30,473,473,0,-17.5,64.16,0,0.17,5,0.3,27,16,6.6,946
2019,1,1,14,0,413,413,0,-17.4,67.23,0,0.17,4.8,0.3,28,16.03,6.7,945
2019,1,1,14,30,340,340,0,-17.4,70.86,0,0.17,3.9,0.3,28,16.73,6.1,946
2019,1,1,15,0,258,258,0,-15.5,74.98,0,0.17,3.1,0.3,29,20.17,5.6,946
2019,1,1,15,30,169,169,0,-15.5,79.5,0,0.17,3.1,0.3,29,20.17,5.6,946
2019,1,1,16,0,82,82,0,-13.4,84.32,0,0.17,1.4,0.3,27,31.59,1.7,946
2019,1,1,16,30,0,0,0,-13.4,89.2,0,0.17,1.5,0.3,21,32.51,1.3,946
2019,1,1,17,0,0,0,0,-14,95.01,0,0.17,1.5,0.3,15,31.57,1,946
2019,1,1,17,30,0,0,0,-14,100.59,0,0.17,1.5,0.3,11,32.52,0.6,947
2019,1,1,18,0,0,0,0,-14.1,106.32,0,0.17,1.6,0.3,8,33.07,0.3,947
2019,1,1,18,30,0,0,0,-14.1,112.17,0,0.17,1.6,0.3,11,33.79,0,947
2019,1,1,19,0,0,0,0,-14.2,118.11,0,0.17,1.7,0.3,14,34.27,-0.3,947
2019,1,1,19,30,0,0,0,-14.2,124.11,0,0.17,1.8,0.3,18,35.02,-0.6,947
2019,1,1,20,0,0,0,0,-14.3,130.15,0,0.17,1.8,0.3,22,35.31,-0.8,947
2019,1,1,20,30,0,0,0,-14.3,136.2,0,0.17,1.9,0.3,22,36.1,-1.1,947
2019,1,1,21,0,0,0,0,-14.3,142.22,0,0.17,1.9,0.3,22,36.46,-1.3,947
2019,1,1,21,30,0,0,0,-14.3,148.14,0,0.17,1.9,0.3,20,37.27,-1.6,947
2019,1,1,22,0,0,0,0,-14.3,153.85,0,0.17,1.9,0.3,18,38.26,-1.9,948
2019,1,1,22,30,0,0,0,-14.3,159.17,0,0.17,2.1,0.3,17,38.54,-2,948
2019,1,1,23,0,0,0,0,-14.4,163.65,0,0.17,2.2,0.3,15,38.43,-2.1,948
2019,1,1,23,30,0,0,0,-14.4,166.41,0,0.17,2.5,0.3,15,38.15,-2,948
2019,1,2,0,0,0,0,0,-14.8,166.35,0,0.17,2.9,0.3,16,36.62,-1.9,948
2019,1,2,0,30,0,0,0,-14.8,163.5,0,0.17,3.1,0.3,15,36.89,-2,948
2019,1,2,1,0,0,0,0,-15.1,158.97,0,0.17,3.4,0.3,14,36.05,-2,948
2019,1,2,1,30,0,0,0,-15.1,153.63,0,0.17,3.4,0.3,13,36.32,-2.1,948
2019,1,2,2,0,0,0,0,-15.2,147.9,0,0.17,3.4,0.3,12,36.12,-2.2,948
2019,1,2,2,30,0,0,0,-15.2,141.98,0,0.17,3.3,0.3,11,36.39,-2.3,948
2019,1,2,3,0,0,0,8,-15.3,135.96,0,0.17,3.2,0.3,10,36.45,-2.4,948
2019,1,2,3,30,0,0,8,-15.3,129.91,0,0.17,3.1,0.3,10,36.72,-2.5,948
2019,1,2,4,0,0,0,4,-15.3,123.86,0,0.17,3,0.3,9,37.07,-2.6,948
2019,1,2,4,30,0,0,4,-15.3,117.86,0,0.17,3.1,0.3,10,37.07,-2.6,948
2019,1,2,5,0,0,0,1,-15.3,111.92,0,0.17,3.1,0.3,11,37.17,-2.6,948
2019,1,2,5,30,0,0,1,-15.2,106.07,0,0.17,3.1,0.3,10,37.21,-2.6,949
2019,1,2,6,0,0,0,4,-15.2,100.35,0,0.17,3.1,0.3,10,37.41,-2.6,949
2019,1,2,6,30,0,0,4,-15.2,94.77,0,0.17,3.7,0.3,11,35.26,-1.8,949
2019,1,2,7,0,15,15,4,-15.2,88.99,5,0.17,4.4,0.3,12,33.35,-1.1,950
2019,1,2,7,30,31,86,4,-15.2,84.09,3,0.17,5.2,0.3,15,30.78,0,950
2019,1,2,8,0,71,174,4,-15.7,79.27,3,0.17,6,0.3,18,27.63,1,951
2019,1,2,8,30,263,263,0,-15.7,74.77,0,0.17,6.3,0.3,21,25.91,1.9,951
2019,1,2,9,0,345,345,0,-16.7,70.66,0,0.17,6.5,0.3,24,22.49,2.7,951
2019,1,2,9,30,418,418,0,-16.7,67.03,0,0.17,6.4,0.3,26,21.25,3.5,951
2019,1,2,10,0,479,479,0,-17.6,63.98,0,0.17,6.2,0.3,28,18.65,4.3,950
2019,1,2,10,30,525,525,0,-17.6,61.6,0,0.17,5.9,0.3,29,17.76,5,950
2019,1,2,11,0,557,557,0,-18.1,59.96,0,0.17,5.5,0.3,30,16.35,5.6,950
2019,1,2,11,30,573,573,0,-18.1,59.12,0,0.17,5.2,0.3,30,15.67,6.2,949
2019,1,2,12,0,573,573,0,-18.2,59.13,0,0.17,4.9,0.3,30,15.01,6.7,949
2019,1,2,12,30,557,557,0,-18.2,59.98,0,0.17,4.7,0.3,30,14.71,7,949
2019,1,2,13,0,519,519,0,-18.1,61.64,0,0.17,4.5,0.4,29,14.45,7.4,949
2019,1,2,13,30,472,472,0,-18.1,64.04,0,0.17,4.4,0.4,29,14.35,7.5,949
2019,1,2,14,0,412,412,0,-17.7,67.1,0,0.17,4.2,0.4,29,14.66,7.6,949
2019,1,2,14,30,340,340,0,-17.7,70.73,0,0.17,3.2,0.4,29,15.49,6.8,949
2019,1,2,15,0,258,258,0,-14.2,74.85,0,0.17,2.3,0.4,30,21.84,6.1,949
2019,1,2,15,30,170,170,0,-14.2,79.36,0,0.17,2.3,0.4,30,21.84,6.1,949
2019,1,2,16,0,83,83,0,-13.6,84.18,0,0.17,1.3,0.4,26,28.5,2.9,949
2019,1,2,16,30,0,0,0,-13.6,89.08,0,0.17,1.2,0.4,15,28.5,2.9,949
2019,1,2,17,0,0,0,0,-14.9,94.87,0,0.17,1.2,0.4,4,25.6,2.9,949
2019,1,2,17,30,0,0,0,-14.9,100.45,0,0.17,1.3,0.4,174,26.15,2.6,949
2019,1,2,18,0,0,0,0,-15,106.18,0,0.17,1.3,0.5,343,26.38,2.4,949
2019,1,2,18,30,0,0,0,-15,112.03,0,0.17,1.4,0.5,341,26.94,2.1,949
2019,1,2,19,0,0,0,0,-14.4,117.97,0,0.17,1.4,0.5,339,28.88,1.8,950
2019,1,2,19,30,0,0,0,-14.4,123.97,0,0.17,1.5,0.5,343,29.3,1.6,950
2019,1,2,20,0,0,0,0,-14.3,130.02,0,0.17,1.5,0.5,346,29.95,1.4,950
2019,1,2,20,30,0,0,0,-14.3,136.06,0,0.17,1.5,0.5,351,30.38,1.2,950
2019,1,2,21,0,0,0,0,-14,142.08,0,0.17,1.5,0.5,356,31.56,1,950
2019,1,2,21,30,0,0,0,-14,148,0,0.17,1.5,0.5,179,32.02,0.8,950
2019,1,2,22,0,0,0,0,-13.7,153.71,0,0.17,1.6,0.5,2,33.32,0.6,950
2019,1,2,22,30,0,0,0,-13.7,159.03,0,0.17,1.5,0.5,5,33.8,0.4,950
2019,1,2,23,0,0,0,0,-13.2,163.51,0,0.17,1.5,0.5,7,35.72,0.2,950
2019,1,2,23,30,0,0,0,-13.2,166.29,0,0.17,1.5,0.5,9,35.98,0.1,950
2019,1,3,0,0,0,0,0,-12.7,166.28,0,0.17,1.5,0.5,11,37.71,0,950
2019,1,3,0,30,0,0,0,-12.7,163.48,0,0.17,1.5,0.5,10,37.71,0,950
2019,1,3,1,0,0,0,0,-12.3,158.99,0,0.17,1.4,0.6,10,39.22,-0.1,950
2019,1,3,1,30,0,0,0,-12.3,153.66,0,0.17,1.4,0.6,9,39.22,-0.1,950
2019,1,3,2,0,0,0,0,-12,147.94,0,0.17,1.4,0.6,8,40.47,-0.1,950
2019,1,3,2,30,0,0,0,-12,142.02,0,0.17,1.4,0.6,9,40.77,-0.2,950
2019,1,3,3,0,0,0,0,-11.6,136.01,0,0.17,1.4,0.6,9,42.4,-0.3,950
2019,1,3,3,30,0,0,0,-11.6,129.96,0,0.17,1.4,0.6,11,42.71,-0.4,950
2019,1,3,4,0,0,0,0,-11.2,123.91,0,0.17,1.4,0.6,13,44.27,-0.5,950
2019,1,3,4,30,0,0,0,-11.2,117.9,0,0.17,1.4,0.6,13,44.27,-0.5,950
2019,1,3,5,0,0,0,0,-10.9,111.96,0,0.17,1.4,0.7,13,45.59,-0.6,950
2019,1,3,5,30,0,0,1,-10.9,106.11,0,0.17,1.4,0.7,12,45.25,-0.5,950
2019,1,3,6,0,0,0,1,-10.7,100.38,0,0.17,1.4,0.7,11,45.98,-0.5,950
2019,1,3,6,30,0,0,4,-10.7,94.8,0,0.17,1.4,0.7,10,43.7,0.2,950
2019,1,3,7,0,0,0,4,-9.7,89.01,0,0.17,1.3,0.7,9,44.76,1,951
2019,1,3,7,30,30,82,4,-9.7,84.1,3,0.17,2.1,0.7,10,40.22,2.5,951
2019,1,3,8,0,68,167,4,-9.9,79.28,3,0.17,2.9,0.7,11,35.51,4,951
2019,1,3,8,30,253,253,0,-9.9,74.76,0,0.17,3,0.7,16,32.89,5.1,951
2019,1,3,9,0,333,333,0,-9.4,70.64,0,0.17,3,0.7,21,32.01,6.1,951
2019,1,3,9,30,404,404,0,-9.4,67,0,0.17,3,0.7,23,29.89,7.1,951
2019,1,3,10,0,464,464,0,-8.8,63.94,1,0.17,2.9,0.7,25,29.44,8,950
2019,1,3,10,30,510,510,0,-8.8,61.54,1,0.17,2.8,0.7,25,28.08,8.7,950
2019,1,3,11,0,541,541,0,-8.4,59.88,1,0.17,2.7,0.7,25,27.83,9.3,949
2019,1,3,11,30,557,557,0,-8.4,59.03,0,0.17,2.6,0.7,25,26.91,9.8,949
2019,1,3,12,0,557,557,0,-8.1,59.03,0,0.17,2.6,0.7,26,26.62,10.3,948
2019,1,3,12,30,542,542,0,-8.1,59.87,0,0.17,2.5,0.7,27,26.09,10.6,948
2019,1,3,13,0,510,510,0,-7.8,61.51,0,0.17,2.4,0.7,28,26.28,10.8,947
2019,1,3,13,30,464,464,0,-7.8,63.91,0,0.17,2.2,0.7,28,26.28,10.8,947
2019,1,3,14,0,405,405,0,-7.5,66.96,0,0.17,2.1,0.7,28,26.89,10.8,947
2019,1,3,14,30,333,333,0,-7.5,70.59,0,0.17,1.5,0.7,27,28.36,10,947
2019,1,3,15,0,253,253,0,-5.4,74.7,0,0.17,0.9,0.7,26,35.11,9.2,947
2019,1,3,15,30,167,167,0,-5.4,79.22,0,0.17,0.9,0.7,26,35.11,9.2,947
2019,1,3,16,0,81,81,0,-6.8,84.04,0,0.17,0.6,0.7,342,36.45,7.1,947
2019,1,3,16,30,15,15,0,-6.8,88.96,0,0.17,0.9,0.7,324,37.72,6.6,947
2019,1,3,17,0,0,0,0,-7.1,94.73,0,0.17,1.1,0.6,305,38.14,6.1,947
2019,1,3,17,30,0,0,0,-7.1,100.31,0,0.17,1.2,0.6,305,39.21,5.7,947
2019,1,3,18,0,0,0,0,-7,106.04,0,0.17,1.3,0.6,304,40.83,5.3,947
2019,1,3,18,30,0,0,0,-7,111.89,0,0.17,1.4,0.6,308,41.4,5.1,947
2019,1,3,19,0,0,0,0,-6.7,117.83,0,0.17,1.4,0.6,313,42.7,4.9,947
2019,1,3,19,30,0,0,0,-6.7,123.83,0,0.17,1.4,0.6,319,43,4.8,947
2019,1,3,20,0,0,0,0,-6.5,129.88,0,0.17,1.4,0.6,325,43.99,4.7,947
2019,1,3,20,30,0,0,0,-6.5,135.92,0,0.17,1.4,0.6,333,44.29,4.6,947
2019,1,3,21,0,0,0,0,-6.4,141.94,0,0.17,1.4,0.6,341,45.07,4.5,947
2019,1,3,21,30,0,0,0,-6.4,147.85,0,0.17,1.4,0.6,350,45.71,4.3,947
2019,1,3,22,0,0,0,0,-6.3,153.57,0,0.17,1.4,0.6,359,46.61,4.1,947
2019,1,3,22,30,0,0,0,-6.3,158.88,0,0.17,1.5,0.6,185,47.6,3.8,947
2019,1,3,23,0,0,0,0,-6.3,163.37,0,0.17,1.5,0.6,12,48.79,3.5,947
2019,1,3,23,30,0,0,0,-6.3,166.17,0,0.17,1.4,0.6,15,49.83,3.2,947
2019,1,4,0,0,0,0,0,-6.2,166.21,0,0.17,1.4,0.6,18,51.11,2.9,947
2019,1,4,0,30,0,0,0,-6.2,163.45,0,0.17,1.4,0.6,18,52.58,2.5,947
2019,1,4,1,0,0,0,0,-6.2,158.99,0,0.17,1.5,0.6,18,54.28,2.1,947
2019,1,4,1,30,0,0,0,-6.2,153.69,0,0.17,1.5,0.6,17,55.79,1.7,946
2019,1,4,2,0,0,0,0,-6.1,147.98,0,0.17,1.5,0.6,16,57.64,1.3,946
2019,1,4,2,30,0,0,0,-6.1,142.06,0,0.17,1.5,0.6,15,58.89,1,946
2019,1,4,3,0,0,0,0,-6,136.05,0,0.17,1.6,0.6,14,60.77,0.7,946
2019,1,4,3,30,0,0,0,-6,130,0,0.17,1.6,0.6,13,61.21,0.6,946
2019,1,4,4,0,0,0,0,-5.9,123.96,0,0.17,1.6,0.6,12,62.44,0.5,946
2019,1,4,4,30,0,0,0,-5.9,117.95,0,0.17,1.6,0.6,9,62.89,0.4,946
2019,1,4,5,0,0,0,0,-5.7,112,0,0.17,1.5,0.6,6,63.71,0.4,946
2019,1,4,5,30,0,0,0,-5.7,106.14,0,0.17,1.5,0.6,182,63.25,0.5,946
2019,1,4,6,0,0,0,1,-5.6,100.41,0,0.17,1.5,0.5,359,63.27,0.6,946
2019,1,4,6,30,0,0,4,-5.6,94.82,0,0.17,1.4,0.5,358,59.73,1.4,946
2019,1,4,7,0,0,0,4,-5.4,89.03,0,0.17,1.3,0.5,356,56.85,2.3,947
2019,1,4,7,30,31,83,4,-5.4,84.11,3,0.17,1.9,0.5,358,49.72,4.2,947
2019,1,4,8,0,69,170,4,-5.2,79.28,3,0.17,2.6,0.5,359,44.31,6.1,947
2019,1,4,8,30,258,258,0,-5.2,74.75,0,0.17,2.6,0.5,184,40.53,7.4,947
2019,1,4,9,0,340,340,0,-5.5,70.61,0,0.17,2.7,0.5,10,36.37,8.6,947
2019,1,4,9,30,412,412,0,-5.5,66.97,0,0.17,2.6,0.5,16,33.78,9.7,947
2019,1,4,10,0,473,473,0,-6.1,63.89,0,0.17,2.4,0.5,23,30,10.8,946
2019,1,4,10,30,520,520,0,-6.1,61.47,0,0.17,2.3,0.5,27,28.43,11.6,945
2019,1,4,11,0,552,552,0,-6.5,59.8,0,0.17,2.1,0.5,32,26.1,12.4,945
2019,1,4,11,30,573,573,0,-6.6,58.94,0,0.17,1.9,0.4,33,25.4,12.8,944
2019,1,4,12,0,573,573,0,-6.9,58.92,0,0.17,1.7,0.4,35,24.11,13.2,944
2019,1,4,12,30,558,558,0,-6.9,59.74,0,0.17,1.5,0.4,41,23.62,13.5,943
2019,1,4,13,0,526,526,0,-7.3,61.38,0,0.17,1.3,0.4,47,22.58,13.7,943
2019,1,4,13,30,480,480,0,-7.3,63.77,0,0.17,1,0.4,59,22.87,13.5,943
2019,1,4,14,0,420,420,0,-7.2,66.82,0,0.17,0.8,0.4,72,23.32,13.4,943
2019,1,4,14,30,347,347,0,-7.2,70.45,0,0.17,0.6,0.4,90,24.73,12.5,943
2019,1,4,15,0,265,265,0,-4.8,74.56,0,0.17,0.5,0.4,108,31.67,11.5,943
2019,1,4,15,30,177,177,0,-4.8,79.07,0,0.17,0.5,0.4,108,31.67,11.5,943
2019,1,4,16,0,88,88,0,-6.9,83.9,0,0.17,0.5,0.4,130,31.34,9.2,943
2019,1,4,16,30,17,17,0,-6.9,88.83,0,0.17,0.4,0.4,190,32.2,8.8,943
2019,1,4,17,0,0,0,0,-7.2,94.58,0,0.17,0.3,0.4,249,32.48,8.4,943
2019,1,4,17,30,0,0,0,-7.2,100.16,0,0.17,0.5,0.4,273,33.6,7.9,943
2019,1,4,18,0,0,0,0,-7.5,105.89,0,0.17,0.7,0.4,296,33.79,7.4,943
2019,1,4,18,30,0,0,0,-7.5,111.74,0,0.17,0.8,0.4,305,34.96,6.9,943
2019,1,4,19,0,0,0,0,-8,117.68,0,0.17,1,0.4,315,34.77,6.5,943
2019,1,4,19,30,0,0,0,-8,123.69,0,0.17,1,0.4,325,35.74,6.1,943
2019,1,4,20,0,0,0,0,-8.2,129.73,1,0.17,1.1,0.5,335,36.01,5.7,943
2019,1,4,20,30,0,0,0,-8.2,135.78,0,0.17,1.2,0.5,343,36.77,5.4,943
2019,1,4,21,0,0,0,0,-8.4,141.79,0,0.17,1.2,0.5,352,37.34,5,943
2019,1,4,21,30,0,0,0,-8.4,147.71,0,0.17,1.3,0.5,178,38.4,4.6,943
2019,1,4,22,0,0,0,0,-8.5,153.42,0,0.17,1.3,0.6,5,39.12,4.2,943
2019,1,4,22,30,0,0,0,-8.5,158.73,0,0.17,1.4,0.6,11,40.24,3.8,943
2019,1,4,23,0,0,0,0,-8.4,163.22,0,0.17,1.4,0.7,16,41.62,3.4,943
2019,1,4,23,30,0,0,0,-8.4,166.04,0,0.17,1.4,0.7,21,41.58,3.4,942
2019,1,5,0,0,0,0,7,-7.7,166.12,0,0.17,1.3,0.7,27,44.19,3.4,942
2019,1,5,0,30,0,0,7,-7.7,163.42,0,0.17,1.3,0.8,26,44.5,3.3,942
2019,1,5,1,0,0,0,8,-7.3,158.99,0,0.17,1.3,0.8,25,46.48,3.1,942
2019,1,5,1,30,0,0,7,-7.3,153.71,0,0.17,1.4,0.8,24,47.82,2.7,942
2019,1,5,2,0,0,0,7,-7,148.01,0,0.17,1.5,0.8,22,50.13,2.3,942
2019,1,5,2,30,0,0,7,-7,142.1,0,0.17,1.5,0.8,20,50.13,2.3,942
2019,1,5,3,0,0,0,7,-6.3,136.09,0,0.17,1.6,0.8,17,53.22,2.2,942
2019,1,5,3,30,0,0,7,-6.3,130.04,0,0.17,1.6,0.8,14,52.47,2.4,942
2019,1,5,4,0,0,0,4,-5.7,123.99,0,0.17,1.6,0.8,12,54.91,2.5,942
2019,1,5,4,30,0,0,7,-5.7,117.98,0,0.17,1.7,0.8,10,54.52,2.6,942
2019,1,5,5,0,0,0,7,-5.3,112.03,0,0.17,1.8,0.8,8,55.7,2.7,942
2019,1,5,5,30,0,0,7,-5.3,106.17,0,0.17,1.8,0.8,7,55.7,2.7,942
2019,1,5,6,0,0,0,7,-5.2,100.43,0,0.17,1.9,0.8,7,55.8,2.8,942
2019,1,5,6,30,0,0,7,-5.2,94.84,0,0.17,1.9,0.9,7,54.63,3.1,942
2019,1,5,7,0,0,0,7,-5.1,89.04,0,0.17,1.9,0.9,6,53.37,3.5,942
2019,1,5,7,30,35,76,6,-5.1,84.11,3,0.17,2.2,0.9,4,50.51,4.3,943
2019,1,5,8,0,71,159,6,-5,79.27,3,0.17,2.5,1,2,48.06,5.1,943
2019,1,5,8,30,136,243,6,-5,74.73,0,0.17,2.8,1.1,1,46.1,5.7,943
2019,1,5,9,0,133,323,6,-5.1,70.58,0,0.17,3,1.1,0,43.75,6.3,943
2019,1,5,9,30,149,392,6,-5.2,66.92,0,0.17,2.8,1.2,1,41.94,6.9,942
2019,1,5,10,0,234,449,6,-5.2,63.83,0,0.17,2.6,1.3,2,40.53,7.4,942
2019,1,5,10,30,231,493,6,-5.2,61.4,0,0.17,2.3,1.4,181,39.13,7.9,941
2019,1,5,11,0,197,522,6,-5,59.71,0,0.17,2,1.5,360,38.49,8.3,940
2019,1,5,11,30,138,538,6,-5,58.83,0,0.17,1.4,1.5,347,37.21,8.8,940
2019,1,5,12,0,131,536,6,-4.8,58.8,0,0.17,0.8,1.6,334,36.71,9.3,940
2019,1,5,12,30,211,521,6,-4.8,59.62,0,0.17,0.6,1.6,277,36.46,9.4,940
2019,1,5,13,0,306,488,7,-3.8,61.25,0,0.17,0.5,1.7,221,38.92,9.5,940
2019,1,5,13,30,175,444,7,-3.8,63.62,0,0.17,0.5,1.7,200,39.44,9.3,940
2019,1,5,14,0,157,385,6,-2.5,66.67,0,0.17,0.4,1.8,179,44.37,9,940
2019,1,5,14,30,129,317,6,-2.5,70.29,0,0.17,0.3,1.8,143,45.28,8.7,940
2019,1,5,15,0,70,238,6,-2.5,74.41,3,0.17,0.3,1.8,108,46.59,8.3,940
2019,1,5,15,30,45,156,6,-2.5,78.92,3,0.17,0.3,1.8,108,46.59,8.3,940
2019,1,5,16,0,24,75,6,-2.2,83.75,3,0.17,0.2,1.9,358,51.27,7.2,940
2019,1,5,16,30,4,14,6,-2.2,88.69,3,0.17,0.3,1.9,184,53.42,6.6,940
2019,1,5,17,0,0,0,6,-1.6,94.43,0,0.17,0.3,1.9,9,57.9,6.1,941
2019,1,5,17,30,0,0,6,-1.6,100.01,0,0.17,0.4,1.9,32,59.93,5.6,941
2019,1,5,18,0,0,0,6,-0.7,105.74,0,0.17,0.5,1.9,56,65.95,5.1,941
2019,1,5,18,30,0,0,6,-0.7,111.59,0,0.17,0.6,1.9,69,67.34,4.8,941
2019,1,5,19,0,0,0,6,0.2,117.54,0,0.17,0.7,1.9,82,73.23,4.6,941
2019,1,5,19,30,0,0,6,0.2,123.54,0,0.17,0.6,1.9,90,74.26,4.4,941
2019,1,5,20,0,0,0,6,0.8,129.59,0,0.17,0.6,1.9,98,78,4.3,940
2019,1,5,20,30,0,0,8,0.8,135.63,0,0.17,0.6,1.9,113,78.54,4.2,940
2019,1,5,21,0,0,0,7,1.1,141.65,0,0.17,0.6,1.8,128,80.31,4.2,940
2019,1,5,21,30,0,0,6,1.1,147.56,0,0.17,0.7,1.8,142,80.87,4.1,940
2019,1,5,22,0,0,0,8,1.2,153.27,0,0.17,0.8,1.7,157,82.62,3.9,940
2019,1,5,22,30,0,0,8,1.2,158.58,0,0.17,0.9,1.7,166,83.7,3.7,939
2019,1,5,23,0,0,0,8,1,163.07,0,0.17,1,1.7,175,83.88,3.5,939
2019,1,5,23,30,0,0,8,1,165.91,0,0.17,1,1.6,180,84.48,3.4,939
2019,1,6,0,0,0,0,7,1,166.03,0,0.17,1.1,1.6,185,85.72,3.2,939
2019,1,6,0,30,0,0,7,1,163.38,0,0.17,1.1,1.6,181,85.72,3.2,939
2019,1,6,1,0,0,0,4,1.1,158.99,0,0.17,1.1,1.6,176,86.74,3.1,939
2019,1,6,1,30,0,0,4,1.1,153.72,0,0.17,1.1,1.6,172,87.35,3,939
2019,1,6,2,0,0,0,6,1.2,148.03,0,0.17,1.1,1.6,168,88.58,2.9,938
2019,1,6,2,30,0,0,4,1.2,142.13,0,0.17,1.1,1.6,170,87.96,3,938
2019,1,6,3,0,0,0,4,1.4,136.12,0,0.17,1.1,1.6,171,88.98,3,938
2019,1,6,3,30,0,0,4,1.4,130.07,0,0.17,1.2,1.6,175,88.98,3,938
2019,1,6,4,0,0,0,4,1.5,124.03,0,0.17,1.3,1.6,179,89.48,3.1,938
2019,1,6,4,30,0,0,4,1.5,118.01,0,0.17,1.4,1.5,183,88.85,3.2,938
2019,1,6,5,0,0,0,9,1.8,112.06,0,0.17,1.6,1.5,186,89.59,3.3,939
2019,1,6,5,30,0,0,9,1.8,106.19,0,0.17,1.7,1.4,190,89.59,3.3,939
2019,1,6,6,0,0,0,9,1.9,100.45,0,0.17,1.8,1.4,194,91.27,3.2,939
2019,1,6,6,30,0,0,9,1.9,94.85,0,0.17,2,1.3,197,87.49,3.8,939
2019,1,6,7,0,0,0,4,2.4,89.04,0,0.17,2.3,1.2,201,87.26,4.3,940
2019,1,6,7,30,73,73,1,2.4,84.11,0,0.17,3.2,1.2,204,80.27,5.5,940
2019,1,6,8,0,67,156,3,3.2,79.25,3,0.17,4.1,1.1,208,77.88,6.8,941
2019,1,6,8,30,146,240,3,3.2,74.7,0,0.17,4.5,1.1,211,73.24,7.7,941
2019,1,6,9,0,323,323,0,3.7,70.54,0,0.17,5,1,215,70.84,8.7,941
2019,1,6,9,30,228,394,2,3.7,66.87,0,0.17,5.3,1,219,67.59,9.4,941
2019,1,6,10,0,232,456,2,3.2,63.76,0,0.17,5.6,1,224,62.09,10.1,941
2019,1,6,10,30,331,505,2,3.2,61.32,0,0.17,5.6,0.9,226,60.06,10.6,941
2019,1,6,11,0,539,539,0,2.2,59.61,0,0.17,5.6,0.9,228,54.37,11.1,940
2019,1,6,11,30,375,556,3,2.2,58.72,0,0.17,5.5,0.9,229,52.95,11.5,940
2019,1,6,12,0,558,558,0,1.1,58.68,0,0.17,5.4,0.9,231,47.59,11.9,940
2019,1,6,12,30,441,543,8,1.1,59.48,3,0.17,5.2,0.9,230,47.28,12,940
2019,1,6,13,0,512,512,0,-0.1,61.1,0,0.17,5,0.9,230,42.79,12.2,940
