Year,Month,Day,Hour,Minute,GHI,Clearsky GHI,Cloud Type,Dew Point,Solar Zenith Angle,Fill Flag,Surface Albedo,Wind Speed,Precipitable Water,Wind Direction,Relative Humidity,Temperature,Pressure
2019,1,1,0,0,0,0,0,-12.6,166.4,0,0.17,3.2,0.4,358,40.83,-0.9,943
2019,1,1,0,30,0,0,0,-12.6,163.5,0,0.17,3.2,0.4,357,41.13,-1,943
2019,1,1,1,0,0,0,0,-12.6,158.95,0,0.17,3.2,0.4,356,41.79,-1.2,943
2019,1,1,1,30,0,0,0,-12.5,153.6,0,0.17,3.2,0.4,357,41.83,-1.2,944
2019,1,1,2,0,0,0,0,-12.8,147.86,0,0.17,3.2,0.4,357,41.1,-1.3,944
2019,1,1,2,30,0,0,0,-12.8,141.93,0,0.17,3.3,0.3,179,41.41,-1.4,944
2019,1,1,3,0,0,0,0,-13.6,135.91,0,0.17,3.3,0.3,0,39.31,-1.5,944
2019,1,1,3,30,0,0,0,-13.6,129.85,0,0.17,3.4,0.3,1,39.6,-1.6,944
2019,1,1,4,0,0,0,0,-14.4,123.81,0,0.17,3.4,0.3,2,37.4,-1.7,945
2019,1,1,4,30,0,0,0,-14.4,117.81,0,0.17,3.5,0.3,2,37.4,-1.7,945
2019,1,1,5,0,0,0,0,-14.9,111.87,0,0.17,3.5,0.3,3,35.98,-1.8,945
2019,1,1,5,30,0,0,0,-14.9,106.03,0,0.17,3.6,0.3,2,36.28,-1.9,946
2019,1,1,6,0,0,0,1,-15.3,100.31,0,0.17,3.7,0.3,2,35.19,-1.9,946
2019,1,1,6,30,0,0,4,-15.3,94.74,0,0.17,4.3,0.3,3,33.47,-1.2,947
2019,1,1,7,0,15,15,4,-15.7,88.97,5,0.17,4.9,0.3,3,30.49,-0.4,947
2019,1,1,7,30,31,85,4,-15.7,84.07,3,0.17,5.7,0.3,6,28.6,0.5,948
2019,1,1,8,0,71,172,4,-16.5,79.26,3,0.17,6.5,0.3,9,24.82,1.5,948
2019,1,1,8,30,260,260,0,-16.5,74.77,0,0.17,6.8,0.3,12,23.61,2.2,948
2019,1,1,9,0,348,348,0,-17.2,70.67,0,0.17,7.1,0.2,16,21.11,3,948
2019,1,1,9,30,421,421,0,-17.2,67.06,0,0.17,7,0.2,17,20.24,3.6,948
2019,1,1,10,0,482,482,0,-17.4,64.02,0,0.17,6.9,0.2,19,19.04,4.2,948
2019,1,1,10,30,529,529,0,-17.4,61.65,0,0.17,6.7,0.2,19,18.26,4.8,948
